ticker,horizon,feature,mean_importance
TSLA,21,rv_21d,0.134274
TSLA,21,garch_cond_vol,0.078618
TSLA,21,rv_5d,0.060625
TSLA,21,rv_63d,0.0561
TSLA,21,rv_10d,0.047254
TSLA,21,vol_regime_zscore,0.029762
TSLA,21,term_structure_slope,0.028393
TSLA,21,iv_atm_z_score,0.026414
TSLA,21,event_fed_gravity,0.025268
TSLA,21,event_cpi_gravity,0.024894
TSLA,21,event_nfp_gravity,0.023936
TSLA,21,macro_inflation_fwd_zscore,0.023694
TSLA,21,rv_126d,0.023669
TSLA,21,ewma_vol,0.023106
TSLA,21,put_call_skew_30d,0.022063
TSLA,21,vol_of_vol,0.021133
TSLA,21,res_vol,0.020979
TSLA,21,macro_inflation_fwd_5y5y,0.02083
TSLA,21,macro_breakeven_5y,0.020251
TSLA,21,tech_RSI,0.020042
TSLA,21,mom21_TLT,0.019648
TSLA,21,macro_inflation_fwd_chg_63d,0.019155
TSLA,21,corr_sector_21d,0.018314
TSLA,21,tech_MACD_hist,0.017059
TSLA,21,corr_sector_252d,0.015924
TSLA,21,price_regime,0.015382
TSLA,21,macro_yield_curve_slope,0.014928
TSLA,21,macro_hy_spread,0.013767
TSLA,21,vrp_wedge,0.013144
TSLA,21,macro_inflation_fwd_chg_21d,0.012817
TSLA,21,mom21_VIXY,0.012333
TSLA,21,sector_wedge,0.0117
TSLA,21,mom21_USO,0.011537
TSLA,21,mom21_HYG,0.011283
TSLA,21,vol_chg_21d,0.010251
TSLA,21,beta_spy,0.009603
TSLA,21,mom21_SPY,0.008337
TSLA,21,vol_vel,0.007627
TSLA,21,mom21_UUP,0.006801
TSLA,21,res_vol_vel,0.005367
TSLA,21,macro_inflation_fwd_abs_chg_21d,0.004004
TSLA,21,ret_SPY,0.003138
TSLA,21,macro_hy_spread_chg_5d,0.003066
TSLA,21,ret_VIXY,0.001319
TSLA,21,ret_TARGET,0.001059
TSLA,21,ret_HYG,0.000486
TSLA,21,ret_UUP,0.000358
TSLA,21,ret_USO,0.000188
TSLA,21,macro_dollar_ret,6.3e-05
TSLA,21,ret_TLT,3.8e-05
TSLA,21,event_earn_gravity,0.0
TSLA,21,event_div_gravity,0.0
TSLA,63,rv_21d,0.105339
TSLA,63,garch_cond_vol,0.086912
TSLA,63,event_cpi_gravity,0.078967
TSLA,63,event_nfp_gravity,0.064496
TSLA,63,event_fed_gravity,0.060586
TSLA,63,res_vol,0.052487
TSLA,63,ewma_vol,0.04452
TSLA,63,rv_126d,0.032347
TSLA,63,macro_inflation_fwd_zscore,0.03097
TSLA,63,corr_sector_252d,0.028502
TSLA,63,rv_10d,0.027181
TSLA,63,vol_regime_zscore,0.027118
TSLA,63,vol_of_vol,0.024103
TSLA,63,put_call_skew_30d,0.024067
TSLA,63,macro_inflation_fwd_5y5y,0.022893
TSLA,63,mom21_HYG,0.022048
TSLA,63,macro_breakeven_5y,0.021379
TSLA,63,rv_63d,0.021082
TSLA,63,macro_hy_spread,0.021071
TSLA,63,price_regime,0.02068
TSLA,63,macro_yield_curve_slope,0.020648
TSLA,63,beta_spy,0.018479
TSLA,63,mom21_VIXY,0.015695
TSLA,63,corr_sector_21d,0.013538
TSLA,63,vol_chg_21d,0.013169
TSLA,63,mom21_USO,0.011236
TSLA,63,vrp_wedge,0.010667
TSLA,63,iv_atm_z_score,0.009221
TSLA,63,macro_inflation_fwd_chg_63d,0.009136
TSLA,63,mom21_TLT,0.009097
TSLA,63,tech_MACD_hist,0.008988
TSLA,63,mom21_SPY,0.007496
TSLA,63,tech_RSI,0.006029
TSLA,63,term_structure_slope,0.004533
TSLA,63,macro_inflation_fwd_abs_chg_21d,0.003849
TSLA,63,sector_wedge,0.003642
TSLA,63,rv_5d,0.003631
TSLA,63,macro_inflation_fwd_chg_21d,0.003607
TSLA,63,mom21_UUP,0.003202
TSLA,63,res_vol_vel,0.002294
TSLA,63,vol_vel,0.001883
TSLA,63,macro_hy_spread_chg_5d,0.001636
TSLA,63,ret_VIXY,0.001376
TSLA,63,ret_SPY,8.5e-05
TSLA,63,ret_HYG,6.8e-05
TSLA,63,ret_TARGET,4.7e-05
TSLA,63,ret_USO,0.0
TSLA,63,ret_TLT,0.0
TSLA,63,ret_UUP,0.0
TSLA,63,event_earn_gravity,0.0
TSLA,63,event_div_gravity,0.0
TSLA,63,macro_dollar_ret,0.0
TSLA,126,event_cpi_gravity,0.100318
TSLA,126,event_nfp_gravity,0.097093
TSLA,126,garch_cond_vol,0.083282
TSLA,126,event_fed_gravity,0.076194
TSLA,126,res_vol,0.047269
TSLA,126,rv_126d,0.0456
TSLA,126,macro_yield_curve_slope,0.042278
TSLA,126,vol_of_vol,0.03766
TSLA,126,put_call_skew_30d,0.035428
TSLA,126,ewma_vol,0.034592
TSLA,126,macro_inflation_fwd_5y5y,0.031792
TSLA,126,price_regime,0.031499
TSLA,126,rv_21d,0.031442
TSLA,126,corr_sector_252d,0.028457
TSLA,126,macro_hy_spread,0.027974
TSLA,126,macro_breakeven_5y,0.026899
TSLA,126,rv_63d,0.026564
TSLA,126,vol_regime_zscore,0.024899
TSLA,126,macro_inflation_fwd_zscore,0.023195
TSLA,126,beta_spy,0.018877
TSLA,126,rv_10d,0.015969
TSLA,126,mom21_HYG,0.013573
TSLA,126,macro_inflation_fwd_chg_63d,0.013083
TSLA,126,corr_sector_21d,0.010242
TSLA,126,term_structure_slope,0.010101
TSLA,126,mom21_SPY,0.009467
TSLA,126,vol_chg_21d,0.006916
TSLA,126,sector_wedge,0.006732
TSLA,126,iv_atm_z_score,0.005967
TSLA,126,tech_MACD_hist,0.005815
TSLA,126,mom21_TLT,0.005025
TSLA,126,mom21_VIXY,0.004717
TSLA,126,vrp_wedge,0.004627
TSLA,126,mom21_USO,0.004418
TSLA,126,tech_RSI,0.004402
TSLA,126,mom21_UUP,0.003419
TSLA,126,rv_5d,0.001779
TSLA,126,macro_inflation_fwd_chg_21d,0.001147
TSLA,126,macro_hy_spread_chg_5d,0.000575
TSLA,126,macro_inflation_fwd_abs_chg_21d,0.000469
TSLA,126,res_vol_vel,0.000163
TSLA,126,vol_vel,4.9e-05
TSLA,126,ret_VIXY,3.4e-05
TSLA,126,ret_TARGET,0.0
TSLA,126,ret_HYG,0.0
TSLA,126,ret_USO,0.0
TSLA,126,ret_TLT,0.0
TSLA,126,ret_UUP,0.0
TSLA,126,ret_SPY,0.0
TSLA,126,event_earn_gravity,0.0
TSLA,126,event_div_gravity,0.0
TSLA,126,macro_dollar_ret,0.0
