ticker,horizon,feature,mean_importance
WFC,21,rv_21d,0.125883
WFC,21,rv_126d,0.078299
WFC,21,event_nfp_gravity,0.071654
WFC,21,event_cpi_gravity,0.067496
WFC,21,event_fed_gravity,0.047955
WFC,21,price_regime,0.043538
WFC,21,res_vol,0.042084
WFC,21,rv_5d,0.031338
WFC,21,macro_yield_curve_slope,0.028701
WFC,21,ewma_vol,0.027069
WFC,21,rv_10d,0.026299
WFC,21,rv_63d,0.026218
WFC,21,iv_atm_z_score,0.024792
WFC,21,term_structure_slope,0.023955
WFC,21,macro_hy_spread,0.023534
WFC,21,mom21_HYG,0.022595
WFC,21,put_call_skew_30d,0.019842
WFC,21,garch_cond_vol,0.019272
WFC,21,macro_inflation_fwd_5y5y,0.017636
WFC,21,vrp_wedge,0.017343
WFC,21,corr_sector_252d,0.016228
WFC,21,beta_spy,0.01562
WFC,21,macro_inflation_fwd_zscore,0.015103
WFC,21,mom21_USO,0.014551
WFC,21,macro_breakeven_5y,0.014035
WFC,21,macro_inflation_fwd_abs_chg_21d,0.010812
WFC,21,macro_inflation_fwd_chg_63d,0.010572
WFC,21,macro_inflation_fwd_chg_21d,0.010353
WFC,21,mom21_VIXY,0.009292
WFC,21,mom21_SPY,0.009012
WFC,21,vol_of_vol,0.008881
WFC,21,sector_wedge,0.008675
WFC,21,vol_vel,0.007616
WFC,21,mom21_UUP,0.007561
WFC,21,vol_regime_zscore,0.007274
WFC,21,mom21_TLT,0.007241
WFC,21,tech_MACD_hist,0.007163
WFC,21,vol_chg_21d,0.006572
WFC,21,tech_RSI,0.005853
WFC,21,macro_hy_spread_chg_5d,0.005748
WFC,21,corr_sector_21d,0.004977
WFC,21,res_vol_vel,0.004218
WFC,21,ret_SPY,0.002613
WFC,21,ret_TARGET,0.001883
WFC,21,ret_TLT,0.001498
WFC,21,ret_USO,0.000557
WFC,21,ret_UUP,0.000279
WFC,21,ret_HYG,0.000157
WFC,21,ret_VIXY,0.000119
WFC,21,macro_dollar_ret,3.3e-05
WFC,21,event_earn_gravity,0.0
WFC,21,event_div_gravity,0.0
WFC,63,event_nfp_gravity,0.103613
WFC,63,rv_126d,0.102101
WFC,63,event_fed_gravity,0.083878
WFC,63,event_cpi_gravity,0.082178
WFC,63,res_vol,0.052177
WFC,63,price_regime,0.045983
WFC,63,macro_yield_curve_slope,0.041429
WFC,63,rv_63d,0.041303
WFC,63,rv_21d,0.036153
WFC,63,beta_spy,0.035396
WFC,63,corr_sector_252d,0.031225
WFC,63,garch_cond_vol,0.029355
WFC,63,rv_10d,0.028217
WFC,63,macro_inflation_fwd_5y5y,0.025634
WFC,63,macro_hy_spread,0.022425
WFC,63,ewma_vol,0.019615
WFC,63,iv_atm_z_score,0.018689
WFC,63,mom21_HYG,0.018571
WFC,63,macro_breakeven_5y,0.011969
WFC,63,mom21_USO,0.01196
WFC,63,tech_MACD_hist,0.011416
WFC,63,vol_vel,0.010769
WFC,63,macro_inflation_fwd_chg_63d,0.010351
WFC,63,sector_wedge,0.010225
WFC,63,vol_regime_zscore,0.009997
WFC,63,vol_of_vol,0.009654
WFC,63,mom21_VIXY,0.009622
WFC,63,macro_inflation_fwd_zscore,0.009092
WFC,63,vrp_wedge,0.008934
WFC,63,rv_5d,0.0089
WFC,63,vol_chg_21d,0.00837
WFC,63,put_call_skew_30d,0.007046
WFC,63,tech_RSI,0.006131
WFC,63,term_structure_slope,0.005682
WFC,63,corr_sector_21d,0.005603
WFC,63,mom21_TLT,0.005186
WFC,63,mom21_UUP,0.005152
WFC,63,macro_hy_spread_chg_5d,0.004848
WFC,63,macro_inflation_fwd_chg_21d,0.004547
WFC,63,macro_inflation_fwd_abs_chg_21d,0.003093
WFC,63,mom21_SPY,0.002451
WFC,63,res_vol_vel,0.000926
WFC,63,ret_SPY,5.3e-05
WFC,63,ret_VIXY,3.7e-05
WFC,63,ret_UUP,2.6e-05
WFC,63,ret_TLT,1.8e-05
WFC,63,ret_TARGET,0.0
WFC,63,ret_HYG,0.0
WFC,63,ret_USO,0.0
WFC,63,event_earn_gravity,0.0
WFC,63,event_div_gravity,0.0
WFC,63,macro_dollar_ret,0.0
WFC,126,res_vol,0.115246
WFC,126,event_nfp_gravity,0.112558
WFC,126,event_cpi_gravity,0.107246
WFC,126,event_fed_gravity,0.098917
WFC,126,rv_126d,0.090731
WFC,126,price_regime,0.069099
WFC,126,macro_yield_curve_slope,0.047077
WFC,126,rv_63d,0.040611
WFC,126,macro_inflation_fwd_5y5y,0.040411
WFC,126,corr_sector_252d,0.037515
WFC,126,vol_regime_zscore,0.022508
WFC,126,beta_spy,0.022214
WFC,126,macro_inflation_fwd_zscore,0.018978
WFC,126,macro_inflation_fwd_chg_63d,0.017894
WFC,126,macro_hy_spread,0.014996
WFC,126,macro_breakeven_5y,0.012755
WFC,126,rv_21d,0.012315
WFC,126,corr_sector_21d,0.012192
WFC,126,rv_10d,0.010475
WFC,126,sector_wedge,0.01011
WFC,126,rv_5d,0.009384
WFC,126,mom21_HYG,0.007828
WFC,126,iv_atm_z_score,0.006633
WFC,126,mom21_TLT,0.006615
WFC,126,garch_cond_vol,0.006443
WFC,126,mom21_USO,0.006198
WFC,126,vol_vel,0.005634
WFC,126,tech_MACD_hist,0.005154
WFC,126,vol_of_vol,0.004997
WFC,126,vrp_wedge,0.004713
WFC,126,mom21_VIXY,0.004237
WFC,126,tech_RSI,0.003118
WFC,126,ewma_vol,0.002954
WFC,126,put_call_skew_30d,0.002832
WFC,126,mom21_UUP,0.002366
WFC,126,term_structure_slope,0.002053
WFC,126,vol_chg_21d,0.001975
WFC,126,macro_hy_spread_chg_5d,0.001007
WFC,126,mom21_SPY,0.000733
WFC,126,macro_inflation_fwd_chg_21d,0.000696
WFC,126,res_vol_vel,0.000354
WFC,126,macro_dollar_ret,9.4e-05
WFC,126,macro_inflation_fwd_abs_chg_21d,4.6e-05
WFC,126,ret_USO,3.6e-05
WFC,126,ret_TARGET,3.3e-05
WFC,126,ret_SPY,2e-05
WFC,126,ret_VIXY,0.0
WFC,126,ret_HYG,0.0
WFC,126,ret_TLT,0.0
WFC,126,ret_UUP,0.0
WFC,126,event_earn_gravity,0.0
WFC,126,event_div_gravity,0.0
