ticker,horizon,feature,mean_importance
WMT,21,rv_63d,0.062291
WMT,21,term_structure_slope,0.045596
WMT,21,vrp_wedge,0.044962
WMT,21,price_regime,0.044711
WMT,21,iv_atm_z_score,0.042431
WMT,21,rv_5d,0.042222
WMT,21,put_call_skew_30d,0.042018
WMT,21,macro_hy_spread,0.03544
WMT,21,rv_21d,0.030072
WMT,21,macro_inflation_fwd_5y5y,0.028434
WMT,21,mom21_USO,0.027445
WMT,21,macro_breakeven_5y,0.027151
WMT,21,event_nfp_gravity,0.02604
WMT,21,macro_inflation_fwd_zscore,0.02589
WMT,21,beta_spy,0.025831
WMT,21,vol_regime_zscore,0.024934
WMT,21,ewma_vol,0.023363
WMT,21,event_cpi_gravity,0.021644
WMT,21,event_fed_gravity,0.021475
WMT,21,corr_sector_21d,0.021332
WMT,21,rv_126d,0.021226
WMT,21,res_vol,0.020819
WMT,21,mom21_TLT,0.020171
WMT,21,corr_sector_252d,0.019739
WMT,21,mom21_VIXY,0.01958
WMT,21,macro_yield_curve_slope,0.018768
WMT,21,macro_inflation_fwd_chg_63d,0.017226
WMT,21,sector_wedge,0.016712
WMT,21,macro_hy_spread_chg_5d,0.016213
WMT,21,macro_inflation_fwd_chg_21d,0.016134
WMT,21,rv_10d,0.015894
WMT,21,macro_inflation_fwd_abs_chg_21d,0.015358
WMT,21,mom21_SPY,0.013645
WMT,21,mom21_HYG,0.013381
WMT,21,res_vol_vel,0.013055
WMT,21,tech_MACD_hist,0.012767
WMT,21,vol_of_vol,0.012208
WMT,21,mom21_UUP,0.011927
WMT,21,vol_chg_21d,0.011581
WMT,21,tech_RSI,0.008582
WMT,21,ret_SPY,0.007322
WMT,21,garch_cond_vol,0.005603
WMT,21,vol_vel,0.005554
WMT,21,ret_TARGET,0.001573
WMT,21,ret_TLT,0.000488
WMT,21,ret_VIXY,0.000472
WMT,21,ret_HYG,0.000334
WMT,21,ret_UUP,0.000223
WMT,21,macro_dollar_ret,9.4e-05
WMT,21,ret_USO,6.9e-05
WMT,21,event_earn_gravity,0.0
WMT,21,event_div_gravity,0.0
WMT,63,macro_inflation_fwd_5y5y,0.074216
WMT,63,price_regime,0.070087
WMT,63,rv_63d,0.056032
WMT,63,macro_hy_spread,0.049216
WMT,63,mom21_HYG,0.046353
WMT,63,res_vol,0.046039
WMT,63,macro_yield_curve_slope,0.043894
WMT,63,event_cpi_gravity,0.042476
WMT,63,event_nfp_gravity,0.042423
WMT,63,event_fed_gravity,0.040458
WMT,63,macro_breakeven_5y,0.039745
WMT,63,beta_spy,0.038983
WMT,63,rv_21d,0.038848
WMT,63,corr_sector_252d,0.035843
WMT,63,rv_126d,0.02528
WMT,63,vol_regime_zscore,0.022489
WMT,63,macro_inflation_fwd_zscore,0.022426
WMT,63,term_structure_slope,0.020825
WMT,63,ewma_vol,0.020628
WMT,63,mom21_USO,0.02021
WMT,63,rv_5d,0.018841
WMT,63,mom21_VIXY,0.016129
WMT,63,put_call_skew_30d,0.01548
WMT,63,macro_inflation_fwd_chg_63d,0.014678
WMT,63,iv_atm_z_score,0.013567
WMT,63,corr_sector_21d,0.013229
WMT,63,vrp_wedge,0.013001
WMT,63,vol_of_vol,0.009032
WMT,63,macro_inflation_fwd_chg_21d,0.008252
WMT,63,res_vol_vel,0.008104
WMT,63,mom21_UUP,0.00801
WMT,63,macro_hy_spread_chg_5d,0.00744
WMT,63,rv_10d,0.007386
WMT,63,mom21_SPY,0.007372
WMT,63,mom21_TLT,0.007105
WMT,63,macro_inflation_fwd_abs_chg_21d,0.006852
WMT,63,sector_wedge,0.006465
WMT,63,tech_MACD_hist,0.005596
WMT,63,vol_chg_21d,0.004744
WMT,63,ret_SPY,0.004709
WMT,63,tech_RSI,0.002876
WMT,63,vol_vel,0.002399
WMT,63,ret_VIXY,0.001349
WMT,63,garch_cond_vol,0.000689
WMT,63,ret_USO,0.000113
WMT,63,macro_dollar_ret,8.8e-05
WMT,63,ret_HYG,2.5e-05
WMT,63,ret_TARGET,0.0
WMT,63,ret_TLT,0.0
WMT,63,ret_UUP,0.0
WMT,63,event_earn_gravity,0.0
WMT,63,event_div_gravity,0.0
WMT,126,beta_spy,0.078141
WMT,126,price_regime,0.072696
WMT,126,event_nfp_gravity,0.066628
WMT,126,event_fed_gravity,0.064606
WMT,126,macro_inflation_fwd_5y5y,0.060873
WMT,126,event_cpi_gravity,0.060173
WMT,126,corr_sector_252d,0.059681
WMT,126,macro_yield_curve_slope,0.055973
WMT,126,rv_126d,0.046737
WMT,126,macro_hy_spread,0.038484
WMT,126,res_vol,0.037935
WMT,126,rv_63d,0.034963
WMT,126,macro_inflation_fwd_zscore,0.034859
WMT,126,rv_21d,0.032496
WMT,126,ewma_vol,0.031023
WMT,126,macro_breakeven_5y,0.029022
WMT,126,mom21_HYG,0.0283
WMT,126,vol_regime_zscore,0.024511
WMT,126,term_structure_slope,0.017169
WMT,126,put_call_skew_30d,0.013679
WMT,126,vol_vel,0.011441
WMT,126,mom21_TLT,0.010696
WMT,126,rv_5d,0.010214
WMT,126,macro_inflation_fwd_chg_63d,0.009331
WMT,126,mom21_VIXY,0.008906
WMT,126,mom21_USO,0.007786
WMT,126,vrp_wedge,0.007431
WMT,126,rv_10d,0.007093
WMT,126,tech_RSI,0.005903
WMT,126,mom21_SPY,0.005154
WMT,126,mom21_UUP,0.004633
WMT,126,vol_of_vol,0.004582
WMT,126,macro_hy_spread_chg_5d,0.004224
WMT,126,iv_atm_z_score,0.004014
WMT,126,tech_MACD_hist,0.002632
WMT,126,macro_inflation_fwd_chg_21d,0.002038
WMT,126,vol_chg_21d,0.001908
WMT,126,corr_sector_21d,0.001405
WMT,126,sector_wedge,0.001334
WMT,126,macro_inflation_fwd_abs_chg_21d,0.000749
WMT,126,garch_cond_vol,0.000438
WMT,126,ret_SPY,9.6e-05
WMT,126,res_vol_vel,4.6e-05
WMT,126,ret_TARGET,0.0
WMT,126,ret_VIXY,0.0
WMT,126,ret_HYG,0.0
WMT,126,ret_USO,0.0
WMT,126,ret_TLT,0.0
WMT,126,ret_UUP,0.0
WMT,126,event_earn_gravity,0.0
WMT,126,event_div_gravity,0.0
WMT,126,macro_dollar_ret,0.0
