ticker,horizon,step,feature,importance
AMAT,21,0,rv_5d,0.017411
AMAT,21,0,rv_10d,0.017083
AMAT,21,0,rv_21d,0.019412
AMAT,21,0,rv_63d,0.027843
AMAT,21,0,rv_126d,0.083537
AMAT,21,0,ewma_vol,0.015868
AMAT,21,0,garch_cond_vol,0.0
AMAT,21,0,ret_TARGET,0.0
AMAT,21,0,tech_RSI,0.0
AMAT,21,0,tech_MACD_hist,0.015047
AMAT,21,0,ret_VIXY,0.0
AMAT,21,0,mom21_VIXY,0.014489
AMAT,21,0,ret_HYG,0.0
AMAT,21,0,mom21_HYG,0.017848
AMAT,21,0,ret_USO,0.0
AMAT,21,0,mom21_USO,0.0
AMAT,21,0,ret_TLT,0.0
AMAT,21,0,mom21_TLT,0.01865
AMAT,21,0,ret_UUP,0.0
AMAT,21,0,mom21_UUP,0.0
AMAT,21,0,ret_SPY,0.0
AMAT,21,0,mom21_SPY,0.0
AMAT,21,0,vol_vel,0.0
AMAT,21,0,vol_of_vol,0.020552
AMAT,21,0,vol_regime_zscore,0.021413
AMAT,21,0,vol_chg_21d,0.0
AMAT,21,0,event_fed_gravity,0.126281
AMAT,21,0,event_earn_gravity,0.025468
AMAT,21,0,event_div_gravity,0.054105
AMAT,21,0,event_cpi_gravity,0.081165
AMAT,21,0,event_nfp_gravity,0.107865
AMAT,21,0,put_call_skew_30d,0.0
AMAT,21,0,term_structure_slope,0.018342
AMAT,21,0,vrp_wedge,0.016847
AMAT,21,0,iv_atm_z_score,0.02835
AMAT,21,0,macro_yield_curve_slope,0.021324
AMAT,21,0,macro_hy_spread,0.032934
AMAT,21,0,macro_hy_spread_chg_5d,0.0
AMAT,21,0,macro_breakeven_5y,0.025266
AMAT,21,0,macro_inflation_fwd_5y5y,0.015428
AMAT,21,0,macro_inflation_fwd_chg_21d,0.0
AMAT,21,0,macro_inflation_fwd_abs_chg_21d,0.0
AMAT,21,0,macro_inflation_fwd_chg_63d,0.029384
AMAT,21,0,macro_inflation_fwd_zscore,0.025065
AMAT,21,0,macro_dollar_ret,0.0
AMAT,21,0,beta_spy,0.0
AMAT,21,0,res_vol,0.028044
AMAT,21,0,res_vol_vel,0.0
AMAT,21,0,price_regime,0.01669
AMAT,21,0,corr_sector_21d,0.036161
AMAT,21,0,corr_sector_252d,0.0
AMAT,21,0,sector_wedge,0.022128
AMAT,21,1,rv_5d,0.015263
AMAT,21,1,rv_10d,0.014956
AMAT,21,1,rv_21d,0.016973
AMAT,21,1,rv_63d,0.018625
AMAT,21,1,rv_126d,0.072782
AMAT,21,1,ewma_vol,0.013571
AMAT,21,1,garch_cond_vol,0.0
AMAT,21,1,ret_TARGET,0.0
AMAT,21,1,tech_RSI,0.0
AMAT,21,1,tech_MACD_hist,0.0
AMAT,21,1,ret_VIXY,0.0
AMAT,21,1,mom21_VIXY,0.013168
AMAT,21,1,ret_HYG,0.0
AMAT,21,1,mom21_HYG,0.016584
AMAT,21,1,ret_USO,0.0
AMAT,21,1,mom21_USO,0.017651
AMAT,21,1,ret_TLT,0.0
AMAT,21,1,mom21_TLT,0.0
AMAT,21,1,ret_UUP,0.0
AMAT,21,1,mom21_UUP,0.018852
AMAT,21,1,ret_SPY,0.0
AMAT,21,1,mom21_SPY,0.023585
AMAT,21,1,vol_vel,0.0
AMAT,21,1,vol_of_vol,0.017639
AMAT,21,1,vol_regime_zscore,0.018749
AMAT,21,1,vol_chg_21d,0.0
AMAT,21,1,event_fed_gravity,0.107089
AMAT,21,1,event_earn_gravity,0.027269
AMAT,21,1,event_div_gravity,0.04865
AMAT,21,1,event_cpi_gravity,0.078623
AMAT,21,1,event_nfp_gravity,0.114348
AMAT,21,1,put_call_skew_30d,0.0
AMAT,21,1,term_structure_slope,0.016398
AMAT,21,1,vrp_wedge,0.01418
AMAT,21,1,iv_atm_z_score,0.025711
AMAT,21,1,macro_yield_curve_slope,0.021355
AMAT,21,1,macro_hy_spread,0.03299
AMAT,21,1,macro_hy_spread_chg_5d,0.0
AMAT,21,1,macro_breakeven_5y,0.016519
AMAT,21,1,macro_inflation_fwd_5y5y,0.014441
AMAT,21,1,macro_inflation_fwd_chg_21d,0.0
AMAT,21,1,macro_inflation_fwd_abs_chg_21d,0.0
AMAT,21,1,macro_inflation_fwd_chg_63d,0.02669
AMAT,21,1,macro_inflation_fwd_zscore,0.024186
AMAT,21,1,macro_dollar_ret,0.0
AMAT,21,1,beta_spy,0.0
AMAT,21,1,res_vol,0.027055
AMAT,21,1,res_vol_vel,0.0
AMAT,21,1,price_regime,0.016417
AMAT,21,1,corr_sector_21d,0.032694
AMAT,21,1,corr_sector_252d,0.055997
AMAT,21,1,sector_wedge,0.02099
AMAT,21,2,rv_5d,0.0
AMAT,21,2,rv_10d,0.015846
AMAT,21,2,rv_21d,0.017124
AMAT,21,2,rv_63d,0.01646
AMAT,21,2,rv_126d,0.064611
