ticker,horizon,step,feature,importance
COST,21,0,rv_5d,0.0
COST,21,0,rv_10d,0.04654
COST,21,0,rv_21d,0.143921
COST,21,0,rv_63d,0.01938
COST,21,0,rv_126d,0.053912
COST,21,0,ewma_vol,0.0
COST,21,0,garch_cond_vol,0.0
COST,21,0,ret_TARGET,0.0
COST,21,0,tech_RSI,0.0
COST,21,0,tech_MACD_hist,0.0
COST,21,0,ret_VIXY,0.0
COST,21,0,mom21_VIXY,0.0
COST,21,0,ret_HYG,0.0
COST,21,0,mom21_HYG,0.029169
COST,21,0,ret_USO,0.0
COST,21,0,mom21_USO,0.0
COST,21,0,ret_TLT,0.0
COST,21,0,mom21_TLT,0.023361
COST,21,0,ret_UUP,0.0
COST,21,0,mom21_UUP,0.0
COST,21,0,ret_SPY,0.0
COST,21,0,mom21_SPY,0.0
COST,21,0,vol_vel,0.0
COST,21,0,vol_of_vol,0.010113
COST,21,0,vol_regime_zscore,0.0
COST,21,0,vol_chg_21d,0.013652
COST,21,0,event_fed_gravity,0.134866
COST,21,0,event_earn_gravity,0.020456
COST,21,0,event_div_gravity,0.062686
COST,21,0,event_cpi_gravity,0.050524
COST,21,0,event_nfp_gravity,0.082779
COST,21,0,put_call_skew_30d,0.044598
COST,21,0,term_structure_slope,0.020428
COST,21,0,vrp_wedge,0.014751
COST,21,0,iv_atm_z_score,0.039511
COST,21,0,macro_yield_curve_slope,0.0
COST,21,0,macro_hy_spread,0.020679
COST,21,0,macro_hy_spread_chg_5d,0.0
COST,21,0,macro_breakeven_5y,0.023458
COST,21,0,macro_inflation_fwd_5y5y,0.017689
COST,21,0,macro_inflation_fwd_chg_21d,0.0
COST,21,0,macro_inflation_fwd_abs_chg_21d,0.0
COST,21,0,macro_inflation_fwd_chg_63d,0.029659
COST,21,0,macro_inflation_fwd_zscore,0.022802
COST,21,0,macro_dollar_ret,0.0
COST,21,0,beta_spy,0.020798
COST,21,0,res_vol,0.033178
COST,21,0,res_vol_vel,0.0
COST,21,0,price_regime,0.021092
COST,21,0,corr_sector_21d,0.0
COST,21,0,corr_sector_252d,0.0
COST,21,0,sector_wedge,0.0
COST,21,1,rv_5d,0.0
COST,21,1,rv_10d,0.03729
COST,21,1,rv_21d,0.124293
COST,21,1,rv_63d,0.02089
COST,21,1,rv_126d,0.059871
COST,21,1,ewma_vol,0.0
COST,21,1,garch_cond_vol,0.0
COST,21,1,ret_TARGET,0.0
COST,21,1,tech_RSI,0.0
COST,21,1,tech_MACD_hist,0.0
COST,21,1,ret_VIXY,0.0
COST,21,1,mom21_VIXY,0.0
COST,21,1,ret_HYG,0.0
COST,21,1,mom21_HYG,0.0
COST,21,1,ret_USO,0.0
COST,21,1,mom21_USO,0.0
COST,21,1,ret_TLT,0.0
COST,21,1,mom21_TLT,0.04266
COST,21,1,ret_UUP,0.0
COST,21,1,mom21_UUP,0.0
COST,21,1,ret_SPY,0.0
COST,21,1,mom21_SPY,0.0
COST,21,1,vol_vel,0.0
COST,21,1,vol_of_vol,0.020416
COST,21,1,vol_regime_zscore,0.0
COST,21,1,vol_chg_21d,0.016934
COST,21,1,event_fed_gravity,0.150136
COST,21,1,event_earn_gravity,0.01447
COST,21,1,event_div_gravity,0.058575
COST,21,1,event_cpi_gravity,0.059488
COST,21,1,event_nfp_gravity,0.08344
COST,21,1,put_call_skew_30d,0.04774
COST,21,1,term_structure_slope,0.023351
COST,21,1,vrp_wedge,0.0
COST,21,1,iv_atm_z_score,0.044365
COST,21,1,macro_yield_curve_slope,0.0
COST,21,1,macro_hy_spread,0.016806
COST,21,1,macro_hy_spread_chg_5d,0.0
COST,21,1,macro_breakeven_5y,0.019201
COST,21,1,macro_inflation_fwd_5y5y,0.024077
COST,21,1,macro_inflation_fwd_chg_21d,0.0
COST,21,1,macro_inflation_fwd_abs_chg_21d,0.0
COST,21,1,macro_inflation_fwd_chg_63d,0.0
COST,21,1,macro_inflation_fwd_zscore,0.027095
COST,21,1,macro_dollar_ret,0.0
COST,21,1,beta_spy,0.023726
COST,21,1,res_vol,0.037342
COST,21,1,res_vol_vel,0.0
