ticker,horizon,step,feature,importance
PLD,21,0,rv_5d,0.0
PLD,21,0,rv_10d,0.042598
PLD,21,0,rv_21d,0.032432
PLD,21,0,rv_63d,0.01219
PLD,21,0,rv_126d,0.017255
PLD,21,0,ewma_vol,0.044658
PLD,21,0,garch_cond_vol,0.014754
PLD,21,0,ret_TARGET,0.0
PLD,21,0,tech_RSI,0.0
PLD,21,0,tech_MACD_hist,0.011286
PLD,21,0,ret_VIXY,0.0
PLD,21,0,mom21_VIXY,0.006335
PLD,21,0,ret_HYG,0.0
PLD,21,0,mom21_HYG,0.0
PLD,21,0,ret_USO,0.0
PLD,21,0,mom21_USO,0.009595
PLD,21,0,ret_TLT,0.0
PLD,21,0,mom21_TLT,0.0
PLD,21,0,ret_UUP,0.0
PLD,21,0,mom21_UUP,0.0
PLD,21,0,ret_SPY,0.0
PLD,21,0,mom21_SPY,0.0234
PLD,21,0,vol_vel,0.006804
PLD,21,0,vol_of_vol,0.010854
PLD,21,0,vol_regime_zscore,0.0
PLD,21,0,vol_chg_21d,0.0
PLD,21,0,event_fed_gravity,0.085342
PLD,21,0,event_earn_gravity,0.0
PLD,21,0,event_div_gravity,0.0
PLD,21,0,event_cpi_gravity,0.012815
PLD,21,0,event_nfp_gravity,0.040079
PLD,21,0,put_call_skew_30d,0.008636
PLD,21,0,term_structure_slope,0.015014
PLD,21,0,vrp_wedge,0.008823
PLD,21,0,iv_atm_z_score,0.010613
PLD,21,0,macro_yield_curve_slope,0.006018
PLD,21,0,macro_hy_spread,0.008022
PLD,21,0,macro_hy_spread_chg_5d,0.0
PLD,21,0,macro_breakeven_5y,0.0
PLD,21,0,macro_inflation_fwd_5y5y,0.023679
PLD,21,0,macro_inflation_fwd_chg_21d,0.014453
PLD,21,0,macro_inflation_fwd_abs_chg_21d,0.0
PLD,21,0,macro_inflation_fwd_chg_63d,0.011075
PLD,21,0,macro_inflation_fwd_zscore,0.071155
PLD,21,0,macro_dollar_ret,0.0
PLD,21,0,beta_spy,0.019386
PLD,21,0,res_vol,0.041427
PLD,21,0,res_vol_vel,0.0
PLD,21,0,price_regime,0.206926
PLD,21,0,corr_sector_21d,0.008373
PLD,21,0,corr_sector_252d,0.011777
