ticker,horizon,step,feature,importance
T,21,0,rv_5d,0.0
T,21,0,rv_10d,0.011297
T,21,0,rv_21d,0.030103
T,21,0,rv_63d,0.032835
T,21,0,rv_126d,0.027259
T,21,0,ewma_vol,0.017753
T,21,0,garch_cond_vol,0.0
T,21,0,ret_TARGET,0.0
T,21,0,tech_RSI,0.023945
T,21,0,tech_MACD_hist,0.045126
T,21,0,ret_VIXY,0.0
T,21,0,mom21_VIXY,0.0
T,21,0,ret_HYG,0.0
T,21,0,mom21_HYG,0.0
T,21,0,ret_USO,0.0
T,21,0,mom21_USO,0.019262
T,21,0,ret_TLT,0.0
T,21,0,mom21_TLT,0.0
T,21,0,ret_UUP,0.0
T,21,0,mom21_UUP,0.013722
T,21,0,ret_SPY,0.0
T,21,0,mom21_SPY,0.0
T,21,0,vol_vel,0.0
T,21,0,vol_of_vol,0.011858
T,21,0,vol_regime_zscore,0.032959
T,21,0,vol_chg_21d,0.014493
T,21,0,event_fed_gravity,0.076747
T,21,0,event_earn_gravity,0.0
T,21,0,event_div_gravity,0.0
T,21,0,event_cpi_gravity,0.02921
T,21,0,event_nfp_gravity,0.076211
T,21,0,put_call_skew_30d,0.062405
T,21,0,term_structure_slope,0.0
T,21,0,vrp_wedge,0.0
T,21,0,iv_atm_z_score,0.065462
T,21,0,macro_yield_curve_slope,0.02244
T,21,0,macro_hy_spread,0.025916
T,21,0,macro_hy_spread_chg_5d,0.0
T,21,0,macro_breakeven_5y,0.021181
T,21,0,macro_inflation_fwd_5y5y,0.022608
T,21,0,macro_inflation_fwd_chg_21d,0.017329
T,21,0,macro_inflation_fwd_abs_chg_21d,0.0
T,21,0,macro_inflation_fwd_chg_63d,0.021708
T,21,0,macro_inflation_fwd_zscore,0.048319
T,21,0,macro_dollar_ret,0.0
T,21,0,beta_spy,0.059528
T,21,0,res_vol,0.076548
T,21,0,res_vol_vel,0.0
T,21,0,price_regime,0.026301
T,21,0,corr_sector_21d,0.036383
T,21,0,corr_sector_252d,0.015575
T,21,0,sector_wedge,0.015513
T,21,1,rv_5d,0.015638
T,21,1,rv_10d,0.020531
T,21,1,rv_21d,0.030008
T,21,1,rv_63d,0.031403
T,21,1,rv_126d,0.037547
T,21,1,ewma_vol,0.021223
T,21,1,garch_cond_vol,0.0
T,21,1,ret_TARGET,0.0
T,21,1,tech_RSI,0.022962
T,21,1,tech_MACD_hist,0.032569
T,21,1,ret_VIXY,0.0
T,21,1,mom21_VIXY,0.0
T,21,1,ret_HYG,0.0
T,21,1,mom21_HYG,0.0
T,21,1,ret_USO,0.0
T,21,1,mom21_USO,0.018338
T,21,1,ret_TLT,0.0
T,21,1,mom21_TLT,0.01657
T,21,1,ret_UUP,0.0
T,21,1,mom21_UUP,0.012016
T,21,1,ret_SPY,0.0
T,21,1,mom21_SPY,0.018241
T,21,1,vol_vel,0.0
T,21,1,vol_of_vol,0.017479
T,21,1,vol_regime_zscore,0.010106
T,21,1,vol_chg_21d,0.009317
T,21,1,event_fed_gravity,0.048708
T,21,1,event_earn_gravity,0.0
T,21,1,event_div_gravity,0.0
T,21,1,event_cpi_gravity,0.020483
T,21,1,event_nfp_gravity,0.068079
T,21,1,put_call_skew_30d,0.060098
T,21,1,term_structure_slope,0.0
T,21,1,vrp_wedge,0.0
T,21,1,iv_atm_z_score,0.082747
T,21,1,macro_yield_curve_slope,0.021316
T,21,1,macro_hy_spread,0.026509
T,21,1,macro_hy_spread_chg_5d,0.0
T,21,1,macro_breakeven_5y,0.025411
T,21,1,macro_inflation_fwd_5y5y,0.02322
T,21,1,macro_inflation_fwd_chg_21d,0.028604
T,21,1,macro_inflation_fwd_abs_chg_21d,0.012948
T,21,1,macro_inflation_fwd_chg_63d,0.032419
T,21,1,macro_inflation_fwd_zscore,0.030647
T,21,1,macro_dollar_ret,0.0
T,21,1,beta_spy,0.048258
T,21,1,res_vol,0.066755
T,21,1,res_vol_vel,0.0
T,21,1,price_regime,0.020837
T,21,1,corr_sector_21d,0.031848
T,21,1,corr_sector_252d,0.025134
T,21,1,sector_wedge,0.012033
T,21,2,rv_5d,0.016237
T,21,2,rv_10d,0.009744
T,21,2,rv_21d,0.030931
T,21,2,rv_63d,0.034048
T,21,2,rv_126d,0.032152
T,21,2,ewma_vol,0.03208
T,21,2,garch_cond_vol,0.0
T,21,2,ret_TARGET,0.0
T,21,2,tech_RSI,0.023272
T,21,2,tech_MACD_hist,0.025519
T,21,2,ret_VIXY,0.0
T,21,2,mom21_VIXY,0.010119
T,21,2,ret_HYG,0.0
T,21,2,mom21_HYG,0.0
T,21,2,ret_USO,0.0
T,21,2,mom21_USO,0.017192
T,21,2,ret_TLT,0.0
T,21,2,mom21_TLT,0.0
T,21,2,ret_UUP,0.0
T,21,2,mom21_UUP,0.01327
T,21,2,ret_SPY,0.0
T,21,2,mom21_SPY,0.0
T,21,2,vol_vel,0.0
T,21,2,vol_of_vol,0.019742
T,21,2,vol_regime_zscore,0.01492
T,21,2,vol_chg_21d,0.020773
T,21,2,event_fed_gravity,0.060498
T,21,2,event_earn_gravity,0.0
T,21,2,event_div_gravity,0.0
T,21,2,event_cpi_gravity,0.023492
T,21,2,event_nfp_gravity,0.07177
T,21,2,put_call_skew_30d,0.056142
T,21,2,term_structure_slope,0.0
T,21,2,vrp_wedge,0.014776
T,21,2,iv_atm_z_score,0.084391
T,21,2,macro_yield_curve_slope,0.022197
T,21,2,macro_hy_spread,0.023939
T,21,2,macro_hy_spread_chg_5d,0.0
T,21,2,macro_breakeven_5y,0.025429
T,21,2,macro_inflation_fwd_5y5y,0.030775
T,21,2,macro_inflation_fwd_chg_21d,0.0
T,21,2,macro_inflation_fwd_abs_chg_21d,0.0
T,21,2,macro_inflation_fwd_chg_63d,0.028458
T,21,2,macro_inflation_fwd_zscore,0.042107
T,21,2,macro_dollar_ret,0.0
T,21,2,beta_spy,0.033232
T,21,2,res_vol,0.06959
T,21,2,res_vol_vel,0.0
T,21,2,price_regime,0.049027
T,21,2,corr_sector_21d,0.032103
T,21,2,corr_sector_252d,0.020057
T,21,2,sector_wedge,0.012016
T,21,3,rv_5d,0.015014
T,21,3,rv_10d,0.0
T,21,3,rv_21d,0.027731
T,21,3,rv_63d,0.028405
T,21,3,rv_126d,0.028563
T,21,3,ewma_vol,0.026423
T,21,3,garch_cond_vol,0.0
T,21,3,ret_TARGET,0.0
T,21,3,tech_RSI,0.020561
T,21,3,tech_MACD_hist,0.0316
T,21,3,ret_VIXY,0.0
T,21,3,mom21_VIXY,0.012372
T,21,3,ret_HYG,0.0
T,21,3,mom21_HYG,0.0
T,21,3,ret_USO,0.0
T,21,3,mom21_USO,0.016797
T,21,3,ret_TLT,0.0
T,21,3,mom21_TLT,0.016512
T,21,3,ret_UUP,0.0
T,21,3,mom21_UUP,0.01069
T,21,3,ret_SPY,0.0
T,21,3,mom21_SPY,0.0
T,21,3,vol_vel,0.0
T,21,3,vol_of_vol,0.023995
T,21,3,vol_regime_zscore,0.013344
T,21,3,vol_chg_21d,0.025086
T,21,3,event_fed_gravity,0.043583
T,21,3,event_earn_gravity,0.0
T,21,3,event_div_gravity,0.0
T,21,3,event_cpi_gravity,0.058244
T,21,3,event_nfp_gravity,0.069367
T,21,3,put_call_skew_30d,0.057126
T,21,3,term_structure_slope,0.0
T,21,3,vrp_wedge,0.012586
T,21,3,iv_atm_z_score,0.075925
T,21,3,macro_yield_curve_slope,0.019701
T,21,3,macro_hy_spread,0.022657
T,21,3,macro_hy_spread_chg_5d,0.0
