ticker,horizon,step,feature,importance
WMT,21,0,rv_5d,0.0
WMT,21,0,rv_10d,0.0
WMT,21,0,rv_21d,0.0
WMT,21,0,rv_63d,0.047193
WMT,21,0,rv_126d,0.042286
WMT,21,0,ewma_vol,0.018714
WMT,21,0,garch_cond_vol,0.0
WMT,21,0,ret_TARGET,0.0
WMT,21,0,tech_RSI,0.0
WMT,21,0,tech_MACD_hist,0.0
WMT,21,0,ret_VIXY,0.0
WMT,21,0,mom21_VIXY,0.015624
WMT,21,0,ret_HYG,0.0
WMT,21,0,mom21_HYG,0.013741
WMT,21,0,ret_USO,0.0
WMT,21,0,mom21_USO,0.020687
WMT,21,0,ret_TLT,0.0
WMT,21,0,mom21_TLT,0.020372
WMT,21,0,ret_UUP,0.0
WMT,21,0,mom21_UUP,0.0
WMT,21,0,ret_SPY,0.0
WMT,21,0,mom21_SPY,0.0
WMT,21,0,vol_vel,0.0
WMT,21,0,vol_of_vol,0.018747
WMT,21,0,vol_regime_zscore,0.028089
WMT,21,0,vol_chg_21d,0.0
WMT,21,0,event_fed_gravity,0.049229
WMT,21,0,event_earn_gravity,0.0
WMT,21,0,event_div_gravity,0.0
WMT,21,0,event_cpi_gravity,0.03312
WMT,21,0,event_nfp_gravity,0.041547
WMT,21,0,put_call_skew_30d,0.120507
WMT,21,0,term_structure_slope,0.018359
WMT,21,0,vrp_wedge,0.012706
WMT,21,0,iv_atm_z_score,0.020926
WMT,21,0,macro_yield_curve_slope,0.020784
WMT,21,0,macro_hy_spread,0.012805
WMT,21,0,macro_hy_spread_chg_5d,0.030325
WMT,21,0,macro_breakeven_5y,0.0
WMT,21,0,macro_inflation_fwd_5y5y,0.022553
WMT,21,0,macro_inflation_fwd_chg_21d,0.021683
WMT,21,0,macro_inflation_fwd_abs_chg_21d,0.0
WMT,21,0,macro_inflation_fwd_chg_63d,0.024968
WMT,21,0,macro_inflation_fwd_zscore,0.02254
WMT,21,0,macro_dollar_ret,0.0
WMT,21,0,beta_spy,0.035898
WMT,21,0,res_vol,0.052452
WMT,21,0,res_vol_vel,0.0
WMT,21,0,price_regime,0.025596
WMT,21,0,corr_sector_21d,0.133414
WMT,21,0,corr_sector_252d,0.036603
WMT,21,0,sector_wedge,0.03853
WMT,21,1,rv_5d,0.0
WMT,21,1,rv_10d,0.012129
WMT,21,1,rv_21d,0.014914
WMT,21,1,rv_63d,0.047405
WMT,21,1,rv_126d,0.041202
WMT,21,1,ewma_vol,0.026045
WMT,21,1,garch_cond_vol,0.0
WMT,21,1,ret_TARGET,0.0
WMT,21,1,tech_RSI,0.0
WMT,21,1,tech_MACD_hist,0.011976
WMT,21,1,ret_VIXY,0.0
WMT,21,1,mom21_VIXY,0.019384
WMT,21,1,ret_HYG,0.0
WMT,21,1,mom21_HYG,0.019598
WMT,21,1,ret_USO,0.0
WMT,21,1,mom21_USO,0.020658
WMT,21,1,ret_TLT,0.0
WMT,21,1,mom21_TLT,0.023438
WMT,21,1,ret_UUP,0.0
WMT,21,1,mom21_UUP,0.0
WMT,21,1,ret_SPY,0.0
WMT,21,1,mom21_SPY,0.012038
WMT,21,1,vol_vel,0.019515
WMT,21,1,vol_of_vol,0.02373
WMT,21,1,vol_regime_zscore,0.022299
WMT,21,1,vol_chg_21d,0.016999
WMT,21,1,event_fed_gravity,0.060161
WMT,21,1,event_earn_gravity,0.0
WMT,21,1,event_div_gravity,0.0
WMT,21,1,event_cpi_gravity,0.030738
WMT,21,1,event_nfp_gravity,0.041043
WMT,21,1,put_call_skew_30d,0.139856
WMT,21,1,term_structure_slope,0.012006
WMT,21,1,vrp_wedge,0.017568
WMT,21,1,iv_atm_z_score,0.017252
WMT,21,1,macro_yield_curve_slope,0.01482
WMT,21,1,macro_hy_spread,0.016125
WMT,21,1,macro_hy_spread_chg_5d,0.023692
WMT,21,1,macro_breakeven_5y,0.0
WMT,21,1,macro_inflation_fwd_5y5y,0.015518
WMT,21,1,macro_inflation_fwd_chg_21d,0.0
WMT,21,1,macro_inflation_fwd_abs_chg_21d,0.0
WMT,21,1,macro_inflation_fwd_chg_63d,0.017326
WMT,21,1,macro_inflation_fwd_zscore,0.0
WMT,21,1,macro_dollar_ret,0.0
WMT,21,1,beta_spy,0.046641
WMT,21,1,res_vol,0.037319
WMT,21,1,res_vol_vel,0.0
WMT,21,1,price_regime,0.012057
WMT,21,1,corr_sector_21d,0.086347
WMT,21,1,corr_sector_252d,0.043716
WMT,21,1,sector_wedge,0.036486
WMT,21,2,rv_5d,0.0
WMT,21,2,rv_10d,0.014344
WMT,21,2,rv_21d,0.016401
WMT,21,2,rv_63d,0.046917
WMT,21,2,rv_126d,0.040856
WMT,21,2,ewma_vol,0.026854
WMT,21,2,garch_cond_vol,0.0
WMT,21,2,ret_TARGET,0.0
WMT,21,2,tech_RSI,0.017642
WMT,21,2,tech_MACD_hist,0.017946
WMT,21,2,ret_VIXY,0.0
WMT,21,2,mom21_VIXY,0.02043
WMT,21,2,ret_HYG,0.0
WMT,21,2,mom21_HYG,0.014306
WMT,21,2,ret_USO,0.0
WMT,21,2,mom21_USO,0.025395
WMT,21,2,ret_TLT,0.0
WMT,21,2,mom21_TLT,0.019556
WMT,21,2,ret_UUP,0.0
WMT,21,2,mom21_UUP,0.0
WMT,21,2,ret_SPY,0.0
WMT,21,2,mom21_SPY,0.013643
WMT,21,2,vol_vel,0.0
WMT,21,2,vol_of_vol,0.043404
WMT,21,2,vol_regime_zscore,0.021714
WMT,21,2,vol_chg_21d,0.016754
WMT,21,2,event_fed_gravity,0.075968
WMT,21,2,event_earn_gravity,0.0
WMT,21,2,event_div_gravity,0.0
WMT,21,2,event_cpi_gravity,0.037998
WMT,21,2,event_nfp_gravity,0.045211
WMT,21,2,put_call_skew_30d,0.112437
WMT,21,2,term_structure_slope,0.015361
WMT,21,2,vrp_wedge,0.021234
WMT,21,2,iv_atm_z_score,0.016036
WMT,21,2,macro_yield_curve_slope,0.0
WMT,21,2,macro_hy_spread,0.014749
WMT,21,2,macro_hy_spread_chg_5d,0.016052
WMT,21,2,macro_breakeven_5y,0.0
WMT,21,2,macro_inflation_fwd_5y5y,0.031023
WMT,21,2,macro_inflation_fwd_chg_21d,0.0
WMT,21,2,macro_inflation_fwd_abs_chg_21d,0.0
WMT,21,2,macro_inflation_fwd_chg_63d,0.022616
WMT,21,2,macro_inflation_fwd_zscore,0.0
WMT,21,2,macro_dollar_ret,0.0
WMT,21,2,beta_spy,0.076099
WMT,21,2,res_vol,0.02844
WMT,21,2,res_vol_vel,0.0
WMT,21,2,price_regime,0.021822
WMT,21,2,corr_sector_21d,0.033683
WMT,21,2,corr_sector_252d,0.034107
WMT,21,2,sector_wedge,0.041004
WMT,21,3,rv_5d,0.0
WMT,21,3,rv_10d,0.0
WMT,21,3,rv_21d,0.015195
WMT,21,3,rv_63d,0.044284
WMT,21,3,rv_126d,0.051956
WMT,21,3,ewma_vol,0.023842
WMT,21,3,garch_cond_vol,0.0
WMT,21,3,ret_TARGET,0.0
WMT,21,3,tech_RSI,0.017266
WMT,21,3,tech_MACD_hist,0.014493
WMT,21,3,ret_VIXY,0.0
WMT,21,3,mom21_VIXY,0.01858
WMT,21,3,ret_HYG,0.0
WMT,21,3,mom21_HYG,0.014533
WMT,21,3,ret_USO,0.0
WMT,21,3,mom21_USO,0.020714
WMT,21,3,ret_TLT,0.0
WMT,21,3,mom21_TLT,0.023999
WMT,21,3,ret_UUP,0.0
WMT,21,3,mom21_UUP,0.0
WMT,21,3,ret_SPY,0.0
WMT,21,3,mom21_SPY,0.0
WMT,21,3,vol_vel,0.0
WMT,21,3,vol_of_vol,0.026145
WMT,21,3,vol_regime_zscore,0.040294
WMT,21,3,vol_chg_21d,0.017786
WMT,21,3,event_fed_gravity,0.073768
WMT,21,3,event_earn_gravity,0.0
WMT,21,3,event_div_gravity,0.0
WMT,21,3,event_cpi_gravity,0.045121
WMT,21,3,event_nfp_gravity,0.049918
WMT,21,3,put_call_skew_30d,0.145124
WMT,21,3,term_structure_slope,0.014448
WMT,21,3,vrp_wedge,0.019528
WMT,21,3,iv_atm_z_score,0.014813
WMT,21,3,macro_yield_curve_slope,0.0
WMT,21,3,macro_hy_spread,0.016
WMT,21,3,macro_hy_spread_chg_5d,0.023065
WMT,21,3,macro_breakeven_5y,0.0
WMT,21,3,macro_inflation_fwd_5y5y,0.0
WMT,21,3,macro_inflation_fwd_chg_21d,0.0
WMT,21,3,macro_inflation_fwd_abs_chg_21d,0.0
WMT,21,3,macro_inflation_fwd_chg_63d,0.022888
WMT,21,3,macro_inflation_fwd_zscore,0.0
WMT,21,3,macro_dollar_ret,0.0
WMT,21,3,beta_spy,0.068051
WMT,21,3,res_vol,0.026381
WMT,21,3,res_vol_vel,0.012631
