ticker,horizon,rmse,mz_alpha,mz_beta,mz_r2,n,v8_beta,v8_r2,delta_beta_to_1,delta_r2,v8_in_band,v10_in_band
AAPL,21,0.064475,0.2667,1.1547,0.4156,2973,1.1824688265235468,0.3982067324298908,-0.02776882652354673,0.017393267570109228,True,True
AAPL,63,0.053067,0.5965,1.3564,0.4274,2973,0.6877833837066245,0.1411366452089485,0.04418338370662456,0.28626335479105147,False,False
AAPL,126,0.040362,0.1306,1.0651,0.4654,2973,0.965853952638396,0.3678622304379665,0.030953952638395954,0.09753776956203347,True,True
ABBV,21,0.072026,-0.2705,0.8371,0.2873,2472,0.8069552448918986,0.1950132249633989,-0.03014475510810133,0.0922867750366011,True,True
ABBV,63,0.056853,-0.0715,0.9707,0.2833,2472,-0.0747501404640068,0.0044989825014203,-1.0454501404640069,0.2788010174985797,False,True
ABBV,126,0.043885,0.1903,1.1497,0.3672,2472,0.260857325529587,0.0418701026596998,-0.5894426744704131,0.3253298973403002,False,True
ABT,21,0.054392,0.2249,1.0964,0.4374,2973,1.3006382464068025,0.3614161543552582,-0.20423824640680244,0.07598384564474181,False,True
ABT,63,0.048833,0.4477,1.2169,0.4197,2973,0.4582291678434221,0.0391419409231396,-0.32487083215657786,0.3805580590768604,False,True
ABT,126,0.03971,0.4504,1.2242,0.4904,2973,0.9252153529882586,0.1707550137214003,0.1494153529882586,0.3196449862785997,True,True
ADBE,21,0.070732,0.0051,0.9833,0.4431,2973,0.9434737953722522,0.3311846413394674,-0.039826204627747774,0.1119153586605326,True,True
ADBE,63,0.061195,0.1352,1.0568,0.4371,2973,0.7456509476373028,0.1824285076680019,-0.19754905236269726,0.2546714923319981,True,True
ADBE,126,0.046369,0.2617,1.1417,0.577,2973,0.7892641938050445,0.1904099309198893,-0.06903580619495553,0.3865900690801106,True,True
AEP,21,0.068331,-0.0012,0.9822,0.4337,2973,0.6876326934932886,0.0988588349363922,-0.29456730650671137,0.3348411650636078,False,True
AEP,63,0.065022,0.2436,1.1028,0.3305,2973,0.1855508512458618,0.0066190175277819,-0.7116491487541382,0.32388098247221814,False,True
