quintile,n,mean,median,std,t_stat,p_value,sig,analysis
1,3008,0.21991033128562779,0.1800174666437577,0.11495836112454608,-18.01727241805648,5.343931067346284e-69,*,rv
2,3007,0.21671157655994627,0.1775824221698149,0.11346078169326268,-19.79802232445829,4.2350215365342315e-82,*,rv
3,3008,0.23888831391623508,0.2023533632720011,0.112348009643319,-9.17136103223082,8.436229587279708e-20,*,rv
4,3007,0.2712512497214736,0.2456543878361672,0.1229992588337599,6.052434398524981,1.6033214701987778e-09,*,rv
5,3008,0.3416066032802905,0.32335617545680717,0.1347092150296914,34.17156536385479,1.596876147139187e-216,*,rv
1,3008,0.028456561432640203,0.01670400991002953,0.03690114013240586,-6.662041491168603,3.19909634956634e-11,*,error
2,3007,0.02785315958731364,0.017479822319323685,0.03515008359881057,-7.9340999087162976,2.9649775907766473e-15,*,error
3,3008,0.032920878163471314,0.01977595399200019,0.04926206851135865,-0.020105090924656746,0.983960872893781,,error
4,3007,0.03176967365632226,0.019980016910470633,0.041568183958472435,-1.5424739673518886,0.12306371811162069,,error
5,3008,0.043692330613684764,0.028295097394810134,0.0557664802405569,10.575751588334569,1.0848015356143356e-25,*,error
1,3008,0.21991033128562779,0.1800174666437577,0.11495836112454608,-18.01727241805648,5.343931067346284e-69,*,rv_pct_rank
2,3007,0.21671157655994627,0.1775824221698149,0.11346078169326268,-19.79802232445829,4.2350215365342315e-82,*,rv_pct_rank
3,3008,0.23888831391623508,0.2023533632720011,0.112348009643319,-9.17136103223082,8.436229587279708e-20,*,rv_pct_rank
4,3007,0.2712512497214736,0.2456543878361672,0.1229992588337599,6.052434398524981,1.6033214701987778e-09,*,rv_pct_rank
5,3008,0.3416066032802905,0.32335617545680717,0.1347092150296914,34.17156536385479,1.596876147139187e-216,*,rv_pct_rank
