ticker,gics_sector,gics_industry,sector_etf,active,excluded_reason,min_history_date
AAPL,Tech,,XLK,True,,
ABBV,Health Care,,XLV,True,,
ABT,Health Care,,XLV,True,,
ADBE,Tech,,XLK,True,,
AEP,Utilities,,XLU,True,,
AMAT,Tech,,XLK,True,,
AMD,Tech,,XLK,True,,
AMGN,Health Care,,XLV,True,,
AMT,REIT,,XLRE,True,,
AMZN,Cons Disc,,XLY,True,,
APD,Materials,,XLB,True,,
AVGO,Tech,,XLK,True,,
AXP,Financials,,XLF,True,,
BA,Industrials,,XLI,True,,
BAC,Financials,,XLF,True,,
BKNG,Cons Disc,,XLY,True,,
BLK,Financials,,XLF,True,,
BMY,Health Care,,XLV,True,,
C,Financials,,XLF,True,,
CAT,Industrials,,XLI,True,,
CCI,REIT,,XLRE,True,,
CL,Staples,,XLP,True,,
CMCSA,Comm,,XLC,True,,
COP,Energy,,XLE,True,,
COST,Staples,,XLP,True,,
CRM,Tech,,XLK,True,,
CSCO,Tech,,XLK,True,,
CVS,Health Care,,XLV,True,,
CVX,Energy,,XLE,True,,
D,Utilities,,XLU,True,,
DE,Industrials,,XLI,True,,
DIS,Comm,,XLC,True,,
DOW,Materials,,XLB,True,,
DUK,Utilities,,XLU,True,,
EOG,Energy,,XLE,True,,
EQIX,REIT,,XLRE,True,,
F,Cons Disc,,XLY,True,,
FCX,Materials,,XLB,True,,
FDX,Industrials,,XLI,True,,
GE,Industrials,,XLI,True,,
GILD,Health Care,,XLV,True,,
GM,Cons Disc,,XLY,True,,
GOOGL,Comm,,XLC,True,,
GS,Financials,,XLF,True,,
HD,Cons Disc,,XLY,True,,
HON,Industrials,,XLI,True,,
IBM,Tech,,XLK,True,,
INTC,Tech,,XLK,True,,
JNJ,Health Care,,XLV,True,,
JPM,Financials,,XLF,True,,
KO,Staples,,XLP,True,,
LLY,Health Care,,XLV,True,,
LMT,Industrials,,XLI,True,,
LOW,Cons Disc,,XLY,True,,
MCD,Staples,,XLP,True,,
MMM,Industrials,,XLI,True,,
MO,Staples,,XLP,True,,
MPC,Energy,,XLE,True,,
MRK,Health Care,,XLV,True,,
MS,Financials,,XLF,True,,
MSFT,Tech,,XLK,True,,
MU,Tech,,XLK,True,,
NEE,Utilities,,XLU,True,,
NEM,Materials,,XLB,True,,
NFLX,Comm,,XLC,True,,
NKE,Cons Disc,,XLY,True,,
NOC,Industrials,,XLI,True,,
NVDA,Tech,,XLK,True,,
ORCL,Tech,,XLK,True,,
PEP,Staples,,XLP,True,,
PFE,Health Care,,XLV,True,,
PG,Staples,,XLP,True,,
PLD,REIT,,XLRE,True,,
PM,Staples,,XLP,True,,
PSX,Energy,,XLE,True,,
QCOM,Tech,,XLK,True,,
RTX,Industrials,,XLI,True,,
SBUX,Staples,,XLP,True,,
SCHW,Financials,,XLF,True,,
SLB,Energy,,XLE,True,,
SO,Utilities,,XLU,True,,
SPG,REIT,,XLRE,True,,
T,Comm,,XLC,True,,
TGT,Cons Disc,,XLY,True,,
TMO,Health Care,,XLV,True,,
TSLA,Cons Disc,,XLY,True,,
TXN,Tech,,XLK,True,,
UNH,Health Care,,XLV,True,,
UPS,Industrials,,XLI,True,,
USB,Financials,,XLF,True,,
WFC,Financials,,XLF,True,,
WMT,Staples,,XLP,True,,
XOM,Energy,,XLE,True,,
LIN,Other,,,False,R^2=0.94 leakage from Linde-Praxair merger,
OXY,Other,,,False,RMSE explosion in WFA folds,
VZ,Other,,,False,Frontier Communications acquisition artifact,
META,Other,,,False,Insufficient post-IPO history,
