ticker,avg_dv_M,iv_days
AAPL,7679.0,252
GOOGL,1796.0,252
GOOG,1655.0,252
NB,1647.0,252
BAC,1647.0,252
MSFT,1494.0,252
XOM,1324.0,252
C,1295.0,252
CHL,1188.0,252
CMB,1188.0,252
JPM,1188.0,252
AMZN,1107.0,252
INTC,1065.0,252
GE,949.0,252
NFLX,928.0,252
TRV,906.0,252
CSCO,903.0,252
PFE,894.0,252
NOB,873.0,252
WFC,873.0,252
T,862.0,252
SBC,862.0,252
IBM,855.0,252
ORCL,784.0,252
QCOM,781.0,252
JNJ,776.0,252
CHV,769.0,252
CVX,769.0,252
BKNG,732.0,252
PCLN,732.0,252
VZ,718.0,252
BEL,718.0,252
PG,681.0,252
TSLA,673.0,252
GILD,662.0,252
XON,652.0,252
F,640.0,252
CAT,624.0,252
GS,619.0,252
FCX,607.0,252
MRK,603.0,252
KO,590.0,252
WMT,574.0,252
SD,559.0,252
YHOO,547.0,252
HAL,541.0,252
CCC,531.0,252
CMCSA,531.0,252
MCD,529.0,252
EBAY,527.0,252
V,526.0,252
EMC,508.0,252
HPQ,498.0,252
HWP,498.0,252
HD,498.0,252
LVS,490.0,252
J,486.0,252
DIS,475.0,252
AIG,469.0,252
MU,453.0,252
PM,449.0,252
GM,446.0,252
BA,445.0,252
PEP,440.0,252
OXY,416.0,252
COP,408.0,252
AMGN,407.0,252
TFCFA,402.0,252
FOXA,402.0,252
MS,400.0,252
MWD,400.0,252
P,390.0,252
MA,380.0,252
BMY,369.0,252
RTX,359.0,252
UTX,359.0,252
UNH,349.0,252
ABT,349.0,252
LOW,346.0,252
SBUX,343.0,252
AXP,343.0,252
LNKD,341.0,252
APC,340.0,252
CVS,339.0,252
MES,339.0,252
ESRX,338.0,252
CELG,338.0,252
KFT,337.0,252
MDLZ,337.0,252
MET,335.0,252
MO,334.0,252
DOW,331.0,252
WAG,327.0,252
WBA,327.0,252
TGT,327.0,252
DH,327.0,252
AMER,326.0,252
TWX,326.0,252
CCI,322.0,252
DELL,320.0,209
CRM,319.0,252
MMM,319.0,252
USB,318.0,252
MON,314.0,252
VLO,314.0,252
CTR,314.0,252
CHK,312.0,252
DE,311.0,252
VIAC,309.0,252
PARA,309.0,252
UNP,308.0,252
UPS,306.0,252
NEM,301.0,252
LLY,299.0,252
TXN,298.0,252
DD,297.0,252
APA,293.0,252
EOG,290.0,252
NOV,290.0,252
NOI,290.0,252
WYNN,288.0,252
SNDK,288.0,252
IDPH,285.0,252
BIIB,285.0,252
BHGE,278.0,252
BHI,278.0,252
BRCM,278.0,252
MDT,278.0,252
GMCR,277.0,252
